id	comment	reply
282	진짜 여기 짜장면 대박... 근데 짬뽕은 그냥 그래요 ㅋㅋ	짜장면을 맛있게 드셨다니 다행입니다! 짬뽕에 대한 피드백도 감사드리며, 개선할 수 있도록 노력하겠습니다. 감사합니다!
283	와... 생각보다 맛있네?!? 대 pleasantly surprised!!	음식이 기대 이상이었다니 너무 기쁩니다! 앞으로도 기대에 부응할 수 있도록 노력하겠습니다. 감사합니다!
284	음식은 그럭저럭인데 화장실 청결 상태가 안 좋더라고요... 주의하세요.	화장실의 청결 상태가 만족스럽지 못해 죄송합니다. 청결을 유지하기 위해 노력하겠습니다. 소중한 피드백 감사합니다.
285	포장할 때 누락된 게 있어서 짜증났어요. 확인 잘 해주세요!	포장 시 누락된 것이 있다니 정말 죄송합니다. 앞으로는 더욱 꼼꼼히 확인하여 이런 실수가 없도록 하겠습니다. 다시 한 번 사과드립니다.
286	여기 애프터눈 티세트? 진짜 대박입니다. 데이트하기 좋아요!	애프터눈 티세트를 즐겨주셔서 감사합니다. 소중한 시간을 저희 가게에서 보내주셔서 감사합니다. 앞으로도 만족스러운 시간이 되시길 바랍니다.
287	음료는 별로였지만 디저트는 괜찮았어요!	음료는 기대에 미치지 못해 죄송합니다. 디저트에 만족하셨다니 다행입니다. 다음에는 음료도 만족하실 수 있도록 노력하겠습니다.
288	음식 나올 때까지 기다리는 시간이 너무 길어요. 개선 필요!	음식을 기다리는 시간이 길어 불편을 드려 죄송합니다. 서비스 속도를 개선하여 고객님의 소중한 시간을 아껴드리겠습니다. 감사합니다.
289	너무 시끄러워서 이야기하기 힘들었네요. 다음에는 조용한 곳으로 부탁드려요.	시끄러워 대화하기 힘드셨다니 죄송합니다. 다음에는 조용한 자리를 안내해 드리도록 노력하겠습니다. 피드백 감사드립니다.
290	볶음밥 진짜 최고! 여긴 볶음밥 파는 곳이지, 안 그래요?ㅋㅋ	볶음밥이 마음에 드셨다니 기쁩니다! 앞으로도 볶음밥 맛집으로 남을 수 있도록 노력하겠습니다. 감사합니다!
291	음식 사진 찍기 좋아요. 인스타에 올릴 만해요!	음식 사진이 잘 나왔다니 다행입니다. 인스타그램에 예쁜 사진 많이 올려주세요! 감사합니다.
292	이런... 예약했는데 자리가 없다니요? 전 다신 안 올 거에요.	예약에도 불구하고 자리가 없어 불편을 드려 정말 죄송합니다. 앞으로는 이런 일이 발생하지 않도록 더욱 주의하겠습니다. 다시 한 번 사과드립니다.
293	맛은 있어요, 근데 가격이 좀... 아니죠?	맛은 있으셨다니 다행이지만, 가격에 대한 아쉬움을 드려 죄송합니다. 가격 정책을 재검토하여 고객 만족을 높일 수 있도록 노력하겠습니다. 감사합니다.
294	피자 반죽이 너무 특이해서 별로였어요. 소스는 괜찮았는데.	피자 반죽이 기호에 맞지 않아 아쉽습니다. 다양한 취향을 만족시킬 수 있도록 메뉴 개선을 고민하겠습니다. 소중한 피드백 감사합니다.
295	다 좋은데, 음악 볼륨만 좀 낮추면 완벽할 것 같아요!	음악 볼륨이 불편하셨다면 죄송합니다. 앞으로는 적정 볼륨을 유지하도록 주의하겠습니다. 좋은 의견 감사합니다.
296	와우! 여기 라떼아트 진짜 예술이네요. 인스타갬성!!	라떼아트에 만족하셨다니 정말 기쁩니다! 앞으로도 예술적인 라떼아트로 즐거움을 드리겠습니다. 감사합니다!
297	처음 와봤는데, 여기 분위기도 좋고 음식도 맛있어요. 좋은 경험이었어요!	첫 방문에 만족하셨다니 기쁩니다! 분위기와 음식 모두 마음에 드셨다니 영광입니다. 다음에도 기분 좋은 시간 되시길 바랍니다.
298	음... 여기 리뷰 왜 이래? 사진으로 봤을 때랑 너무 다르네요.	리뷰와 실제 경험이 다르셨다면 정말 죄송합니다. 어떤 부분이 달랐는지 구체적인 피드백 주시면 개선하도록 노력하겠습니다. 소중한 의견 감사합니다.
299	직원들이 너무 친절해서 기분 좋게 먹고 왔습니다. 굿굿!	직원들의 친절함이 기억에 남아주셔서 감사합니다. 앞으로도 친절한 서비스로 기분 좋게 식사하실 수 있도록 노력하겠습니다. 감사합니다!
300	제 입맛엔 안 맞았어요. 다른 분들은 괜찮았을지 모르겠지만...	음식이 입맛에 맞지 않아 유감입니다. 개인의 취향은 다양하니 이해합니다. 다른 메뉴는 만족하실 수 있기를 바랍니다.
